-2 -1 -2 -2 -1 -2 -2 -1 -2 -2 -1 -2 -2 -1 -2 -2 5 -2 -1 -2 -2 -1 -2 -2 -1 -2 -2 -1 -2 -2 -1 -2 -2 -1 -2 -2 -1 -2 -2 -1
-9 -9 -8 -8 -9 -8 -8 -9 -8 -8 -9 -8 -8 -9 -8 -8 5 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9
-7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -8 -8 5 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -9 -9 -9 -7 -7 -7 -7 -7 -7 -7 -7
2 2 2 2 2 2 2 2 2 2 2 2 2 3 -8 -8 5 2 2 2 2 2 2 2 2 2 2 2 3 -9 -9 -9 1 2 2 2 2 2 2 2
-2 -1 -2 -2 -1 -2 -2 -1 -2 -2 -1 -2 -2 -1 -8 -8 -1 -2 -2 -1 -2 -2 -1 -2 -2 -1 -2 -2 -1 -9 -9 1 -9 -9 -9 -9 -9 -9 -8 -8
-5 -6 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -8 -8 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 1 -9 -9 -9 -9 -9 -9 -9 -9 -8
-5 -6 1 2 2 2 2 2 2 2 2 2 2 3 -8 -8 1 2 2 2 2 2 2 2 2 2 2 2 2 2 -9 -9 1 2 2 3 -9 -9 -9 -9
-5 -6 -2 -1 -2 -2 -1 -2 -2 -1 -2 -2 -1 6 -8 -8 6 -2 -1 -2 -2 -1 -2 -2 -1 -2 -2 -1 -2 5 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9
-5 -6 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 6 -8 -8 6 -9 -9 -8 -8 -9 -8 -8 -9 -8 -8 -9 -9 5 -9 -8 -9 -9 -9 -9 -9 -9 1 2
-5 -6 1 2 2 2 2 2 2 2 2 2 2 6 -8 -8 6 -7 -7 -7 -7 -7 -7 -7 -7 -9 -9 -9 -9 5 -8 -8 -8 -9 -9 -9 -9 -9 -9 -9
10 10 10 10 10 10 10 10 10 10 10 10 10 10 -8 -8 10 13 13 13 13 13 13 13 14 -9 -9 -9 15 5 -9 -8 -9 -9 1 2 3 -9 -9 -9
-6 -9 -9 -9 -9 -9 -5 -9 -9 -9 -9 -9 -6 -9 -8 -8 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 15 -9 5 -9 -9 -9 -9 -9 -9 -9 -9 -8 -9
-5 -9 -8 -8 -8 -9 -6 -9 -8 -8 -8 -9 -5 -9 -8 -8 -9 -9 -8 -8 -8 -8 -8 -9 -9 -9 15 -9 -9 5 2 3 -9 -9 -9 -9 -9 -8 -8 -8
-6 -9 -8 -8 -8 -9 -5 -9 -8 -8 -8 -9 -6 -9 -8 -8 -9 -9 -8 -8 -8 -8 -8 -9 -9 15 -9 -9 -9 5 -9 -9 -9 -9 -9 -9 -9 -9 -8 -9
-5 -9 -9 -9 -9 -9 -6 -9 -9 -9 -9 -9 -5 -9 -8 -8 -7 -7 -7 -7 -7 -7 -7 -7 15 -9 -9 -9 -9 5 -9 -9 -9 1 2 3 -9 -9 -9 -9
2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 5 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9
-2 -2 -2 -1 -2 -2 -2 -2 -2 -1 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -1 -2 -2 -2 -2 -2 -1 -2 -2 -2 -9 -9 -9 -9 -9 -9 -9 1 2 2
-6 -9 -8 -8 -8 -5 -3 -5 -8 -8 -8 -6 -6 -5 -8 -8 -6 -4 -6 -8 -8 -8 -6 -5 -6 -8 -8 -8 -9 -9 -9 -9 -9 -9 -9 -9 1 5 5 5
-5 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 1 4 5 5 5
2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 5 5 5 5 5
