0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 -6 -2 -1 -2 -2 -1 -2 -2 -1 -2 -5 -2 -2 5
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 -3 -9 -9 -8 -8 -9 -8 -8 -9 -9 -4 -9 -9 5
2 2 2 2 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 -3 -9 -8 -9 -9 -8 -9 -9 -8 -9 -4 -9 -9 5
-1 -2 -1 -2 -1 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 -3 -9 -9 -8 -8 -9 -8 -8 -9 -9 -4 -9 -9 5
-6 -8 -8 -8 -5 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 -3 -7 -7 -7 -7 -7 -7 -7 -7 -7 -4 -9 -9 5
-7 -7 -7 -7 -7 -7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 2 2 2 2 2 2 2 2 2 2 2 -3 -4 5
2 2 2 2 2 2 2 2 2 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5
-1 -2 -2 -1 -6 -2 -1 -2 -1 -2 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5
-9 -9 -9 -9 -6 -9 -9 -9 -9 -9 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5
-9 -9 -9 -9 -6 -9 -9 -8 -9 -9 5 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 -6 -5 5
-9 -9 -9 -9 -6 -9 -8 -9 -8 -9 -4 -2 -1 -2 -2 -1 -2 -3 -2 -1 -2 -2 -1 -2 -2 5 -2 -2 -1 -2 -2 -1 -2 -2 -1 -2 10 10 10 10
2 2 2 2 3 -9 -9 -8 -9 -9 -4 -9 -9 -9 -9 -9 -9 -3 -9 -9 -9 -9 -9 -9 -9 5 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9
-5 -2 -1 -2 -6 -9 -8 -9 -8 -9 -4 -9 -8 -8 -8 -8 -9 -3 -9 -9 -9 -9 -9 -9 -9 5 -9 -8 -8 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9
-5 -9 -9 -9 -6 -9 -9 -8 -9 -9 -4 -9 -8 -8 -8 -8 -9 -3 -9 -9 -9 -9 -9 -9 5 5 -9 -8 -8 -9 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7
-5 -7 -7 -7 -6 -7 -7 -7 -7 -7 -4 -7 -7 -7 -7 -7 -7 -3 -9 -9 -9 -9 -9 -9 5 5 -9 -8 -8 -9 2 2 2 2 2 2 2 2 2 2
2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 -6 -9 -8 -9 -9 -8 -9 5 5 -9 -8 -8 -9 -1 -2 -2 -1 -2 -2 -1 -2 -2 -1
-5 -2 -1 -2 -6 -2 -1 -2 -1 -2 -5 -2 -1 -2 -2 -1 -2 -3 -8 -9 -8 -8 -9 -8 5 5 -9 -8 -8 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9
-5 -9 -9 -9 -6 -9 -8 -8 -8 -9 -5 -9 -9 -9 -9 -9 -9 -3 -9 -8 -9 -9 -8 -9 5 5 -9 -8 -8 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9
-5 -7 -7 -7 -6 -7 -7 -7 -7 -7 -5 -7 -7 -7 -7 -7 -7 -3 -7 -7 -7 -7 -7 -7 5 5 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7
2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 5 5 2 2 2 2 2 2 2 2 2 2 2 2 2 2
